Student_ID,College,Year_Level,Prior_GPA,Final_Grade,Reading_Dependency_Score,Writing_Dependency_Score,Numeracy_Dependency_Score,Motivation_Score,Environment_Score,AI_Dependency_Index,AI_Sessions_Week,Avg_Session_Duration_Min,AI_Tools_Count,Primary_AI_Tool,Usage_Purpose_Buckets,Study_Hours_Per_Week,Assignment_Submission_Punctuality,LMS_Activity_Level,Grade_Improvement_Delta,High_Risk_Flag
S0174,College of Business,4,3.37,3.53,3.49,4.33,2.83,3.94,3.69,3.49,4,23,5,ChatGPT,Grammar,16.2,0.89,24,0.16,0
S0175,College of Arts,4,2.44,2.71,2.26,2.97,4.41,4.11,5.26,3.16,6,2,5,ChatGPT,Brainstorming,9.0,0.85,17,0.27,0
S0176,College of Computer Studies,2,2.78,3.18,6.34,3.95,5.76,3.52,4.28,5.26,8,12,1,Bard,Research,9.4,0.83,14,0.4,0
S0177,College of Computer Studies,2,3.64,3.86,5.66,6.44,3.6,4.85,3.12,5.21,4,26,2,Bard,Problem-solving,6.6,0.97,11,0.22,0
S0178,College of Computer Studies,4,2.89,3.03,3.01,4.73,4.81,4.79,5.43,3.99,7,35,3,Bard,Brainstorming,8.4,0.84,24,0.14,0
S0179,College of Computer Studies,3,3.3,3.59,3.33,4.59,5.22,5.3,4.59,4.22,11,1,1,Gemini,Brainstorming,14.1,0.9,20,0.29,0
S0180,College of Engineering,2,3.52,4.0,2.91,5.53,4.59,6.62,3.98,4.14,11,11,4,ChatGPT,Grammar,10.4,0.96,13,0.48,0
S0181,College of Education,2,2.26,2.55,5.71,3.94,4.46,6.01,4.1,4.39,7,37,5,Bard,Research,6.2,0.5,14,0.29,1
S0182,College of Computer Studies,2,2.25,2.36,5.07,6.12,4.97,4.92,5.07,5.44,4,25,2,Bard,Paraphrasing,3.4,0.77,21,0.11,0
S0183,College of Education,1,3.55,4.0,6.8,7.0,2.74,5.24,2.41,5.76,4,16,5,ChatGPT,Grammar,12.8,0.61,18,0.45,1
S0184,College of Education,3,2.65,2.71,4.46,4.83,4.81,3.63,5.35,4.15,3,15,4,Grammarly,Problem-solving,11.1,0.63,7,0.06,0
S0185,College of Computer Studies,1,2.77,3.48,3.83,5.84,3.53,4.91,7.0,4.16,4,24,2,ChatGPT,Paraphrasing,9.7,0.67,20,0.71,0
S0186,College of Education,4,2.61,2.69,2.88,6.11,4.16,5.93,7.0,4.24,4,9,1,QuillBot,Paraphrasing,10.6,0.79,19,0.08,1
S0187,College of Engineering,3,3.18,3.41,5.85,4.44,5.17,5.28,3.65,5.22,6,20,5,Grammarly,Grammar,17.5,0.96,18,0.23,0
S0188,College of Business,1,2.84,3.09,6.56,4.25,4.26,4.94,4.14,5.08,5,22,1,QuillBot,Brainstorming,11.7,0.84,21,0.25,1
S0189,College of Education,1,3.32,3.5,4.27,3.86,2.93,3.91,6.03,3.63,7,11,5,Grammarly,Grammar,19.5,0.59,18,0.18,0
S0190,College of Computer Studies,4,3.05,3.2,3.61,7.0,5.5,6.7,3.95,5.39,3,1,1,QuillBot,Paraphrasing,11.6,0.65,19,0.15,0
S0191,College of Education,3,3.44,3.16,1.2,4.03,3.2,4.97,2.28,3.05,6,19,1,ChatGPT,Research,3.7,0.63,15,-0.28,0
S0192,College of Business,3,2.81,3.01,3.15,4.54,4.84,4.99,5.04,4.51,4,18,5,QuillBot,Computation,10.6,0.77,24,0.2,0
S0193,College of Computer Studies,1,4.0,3.87,5.75,4.42,3.8,5.73,5.44,4.74,7,15,2,Gemini,Research,4.7,0.7,18,-0.13,0
S0194,College of Business,4,2.94,3.47,5.1,6.07,4.39,4.68,4.73,5.16,9,5,5,ChatGPT,Paraphrasing,21.0,0.5,16,0.53,0
S0195,College of Computer Studies,1,2.55,3.44,3.31,1.93,4.09,6.51,5.09,3.33,5,1,2,Gemini,Grammar,13.4,0.73,19,0.89,0
S0196,College of Computer Studies,1,2.7,2.49,4.17,1.41,3.03,4.62,5.3,2.71,8,9,2,ChatGPT,Paraphrasing,10.5,0.77,14,-0.21,0
S0197,College of Engineering,2,3.15,3.68,7.0,2.53,5.71,5.97,3.84,5.09,6,20,5,Gemini,Problem-solving,15.8,0.82,14,0.53,1
S0198,College of Business,1,2.85,3.22,3.55,3.68,3.32,6.65,3.91,3.41,6,9,3,Gemini,Computation,11.2,0.59,20,0.37,0
S0199,College of Engineering,3,2.87,3.28,4.47,4.64,5.79,3.92,3.86,5.13,10,26,5,Gemini,Computation,17.2,0.97,24,0.41,1
S0200,College of Engineering,2,2.21,1.79,4.38,4.83,2.45,3.85,3.77,3.74,8,20,1,Bard,Paraphrasing,12.1,0.65,20,-0.42,0
S0201,College of Arts,2,2.78,3.18,2.97,5.0,5.49,5.65,2.09,4.84,5,15,3,Grammarly,Computation,9.4,0.94,12,0.4,0
S0202,College of Education,4,2.64,2.75,3.15,6.42,5.43,5.49,5.88,4.8,7,25,2,QuillBot,Computation,8.3,0.67,15,0.11,0
S0203,College of Arts,1,2.11,1.97,6.42,3.17,5.83,5.95,3.71,4.88,3,4,1,QuillBot,Brainstorming,2.1,0.89,17,-0.14,1
S0204,College of Engineering,3,2.46,2.57,4.81,5.63,5.08,3.06,3.86,5.0,5,22,1,Grammarly,Paraphrasing,15.6,0.81,16,0.11,0
S0205,College of Computer Studies,4,3.26,3.52,6.16,7.0,5.3,6.16,4.06,5.96,6,40,3,QuillBot,Research,16.0,0.71,15,0.26,0
S0206,College of Education,2,3.03,3.64,3.85,5.58,3.14,4.47,3.98,4.42,5,21,3,Bard,Research,6.1,0.73,15,0.61,0
S0207,College of Arts,4,2.98,3.74,3.06,3.23,5.33,3.04,5.05,3.76,5,21,4,Grammarly,Grammar,13.0,0.75,15,0.76,0
S0208,College of Education,2,2.54,2.98,5.26,6.82,2.56,6.97,5.16,5.2,4,36,5,Grammarly,Paraphrasing,13.0,0.9,12,0.44,0
S0209,College of Education,3,3.31,3.15,3.04,7.0,1.83,4.4,5.11,4.18,5,30,1,QuillBot,Paraphrasing,7.1,0.84,23,-0.16,1
S0210,College of Business,2,2.64,2.69,4.81,5.99,3.46,5.85,3.35,5.11,5,22,5,Grammarly,Research,14.2,0.79,20,0.05,0
S0211,College of Education,1,3.33,3.29,4.79,3.32,4.19,5.78,4.49,4.33,5,27,1,Gemini,Grammar,2.3,0.78,22,-0.04,1
S0212,College of Computer Studies,3,3.65,3.71,6.34,3.16,3.87,4.65,5.24,4.62,8,13,4,Bard,Paraphrasing,6.3,0.91,17,0.06,0
S0213,College of Education,3,2.77,2.89,2.6,5.42,5.03,3.68,4.36,4.56,7,21,5,Gemini,Brainstorming,11.7,0.5,18,0.12,0
S0214,College of Engineering,3,2.91,2.77,4.15,5.74,4.26,5.62,5.47,5.17,4,15,4,Bard,Paraphrasing,13.8,0.93,17,-0.14,1
S0215,College of Engineering,3,2.63,2.67,4.78,2.91,5.15,5.93,5.51,4.44,5,37,3,Grammarly,Research,14.6,0.94,14,0.04,0
S0216,College of Engineering,4,2.5,3.48,4.09,5.21,4.76,4.49,4.17,4.71,10,15,4,Bard,Brainstorming,13.4,0.78,9,0.98,1
S0217,College of Business,2,3.29,3.44,4.66,6.31,4.87,5.03,4.37,5.28,5,1,5,QuillBot,Paraphrasing,6.8,0.94,18,0.15,0
S0218,College of Engineering,1,3.28,3.62,5.23,5.54,4.2,5.41,6.46,4.97,4,27,1,Gemini,Computation,9.5,0.9,16,0.34,0
S0219,College of Engineering,4,3.31,3.39,3.15,5.19,5.53,4.8,3.57,4.68,10,13,1,Bard,Computation,6.6,0.58,19,0.08,1
S0220,College of Education,2,2.71,3.05,4.07,3.47,3.52,3.11,4.28,3.68,7,20,5,Gemini,Brainstorming,17.3,0.54,19,0.34,0
S0221,College of Arts,3,3.17,3.31,4.02,6.1,2.98,6.16,4.67,4.17,7,32,5,Bard,Brainstorming,16.1,0.75,22,0.14,0
S0222,College of Computer Studies,1,2.67,2.82,2.47,5.17,6.28,4.8,3.73,4.6,6,27,4,ChatGPT,Problem-solving,1.0,0.91,9,0.15,1
S0223,College of Engineering,3,3.38,3.2,4.68,4.59,3.58,4.17,3.94,4.05,5,23,3,Gemini,Paraphrasing,8.9,0.82,14,-0.18,0
S0224,College of Engineering,2,2.73,2.68,5.85,6.29,5.99,4.15,5.22,6.17,6,17,3,Bard,Research,6.9,0.84,16,-0.05,0
S0225,College of Engineering,4,3.15,3.57,2.57,2.62,4.7,4.56,3.71,3.35,5,35,3,ChatGPT,Brainstorming,3.6,0.68,23,0.42,0
S0226,College of Arts,1,3.04,3.55,3.24,6.1,5.25,3.86,5.1,4.97,3,30,2,ChatGPT,Grammar,10.8,0.53,14,0.51,0
S0227,College of Business,3,3.08,3.25,5.04,4.8,3.82,4.41,3.17,4.85,6,18,2,QuillBot,Grammar,12.7,0.63,14,0.17,1
S0228,College of Computer Studies,1,2.98,2.63,5.2,4.32,2.86,4.88,5.04,4.06,8,19,4,Gemini,Brainstorming,12.8,0.5,15,-0.35,0
S0229,College of Engineering,2,3.11,3.04,7.0,6.26,4.31,4.66,7.0,6.06,4,15,3,Gemini,Brainstorming,10.8,0.89,15,-0.07,1
S0230,College of Arts,4,3.52,3.23,4.06,6.64,3.97,4.67,4.76,4.99,3,29,4,Bard,Research,11.5,0.73,20,-0.29,0
S0231,College of Computer Studies,3,2.01,2.7,2.15,2.06,5.56,5.01,3.31,3.24,4,31,4,Grammarly,Grammar,13.9,0.81,17,0.69,1
S0232,College of Arts,1,3.15,3.12,5.2,2.26,3.98,4.19,5.61,4.02,8,18,5,QuillBot,Computation,14.0,0.99,16,-0.03,0
S0233,College of Computer Studies,3,2.24,2.57,2.75,5.01,4.49,5.31,4.7,3.92,6,21,4,Grammarly,Problem-solving,11.8,0.57,19,0.33,0
S0234,College of Business,2,2.57,2.81,5.84,7.0,4.18,5.51,4.79,5.61,8,9,2,ChatGPT,Problem-solving,7.7,0.8,9,0.24,1
S0235,College of Education,2,3.19,3.21,5.99,4.85,5.25,5.08,3.57,5.42,3,12,3,Grammarly,Computation,13.6,0.53,15,0.02,0
S0236,College of Computer Studies,3,2.63,3.19,3.59,5.72,4.13,4.17,5.35,4.63,8,26,1,Grammarly,Grammar,13.9,0.85,16,0.56,0
S0237,College of Engineering,2,2.95,2.93,4.2,5.92,4.62,7.0,3.76,5.03,6,16,1,Gemini,Brainstorming,3.3,0.76,21,-0.02,0
S0238,College of Computer Studies,3,2.78,2.65,2.89,5.18,5.98,4.0,2.43,4.84,2,24,1,Grammarly,Paraphrasing,9.2,0.73,21,-0.13,1
S0239,College of Engineering,3,2.75,2.8,4.44,5.63,3.43,3.15,4.23,4.76,6,18,1,Gemini,Problem-solving,4.2,0.95,18,0.05,1
S0240,College of Engineering,1,2.84,2.81,3.42,6.02,3.1,5.64,4.73,3.77,6,28,4,Grammarly,Brainstorming,14.8,0.84,20,-0.03,1
S0241,College of Arts,3,3.07,2.88,5.67,4.65,3.1,5.75,5.42,4.74,8,21,4,Bard,Grammar,8.8,0.87,15,-0.19,0
S0242,College of Business,2,2.7,2.54,5.15,5.23,3.21,6.17,3.98,4.69,4,8,2,Gemini,Paraphrasing,13.9,0.54,23,-0.16,0
S0243,College of Business,2,2.69,2.99,4.61,3.84,5.06,6.03,5.36,4.8,8,26,4,Grammarly,Problem-solving,19.1,0.86,17,0.3,0
S0244,College of Arts,4,2.86,3.04,5.86,3.68,6.68,3.56,4.41,5.21,6,24,4,QuillBot,Brainstorming,6.2,0.84,20,0.18,0
S0245,College of Education,1,2.78,2.79,4.14,5.18,5.75,4.23,4.15,4.88,9,13,5,QuillBot,Grammar,4.2,0.71,16,0.01,0
S0246,College of Computer Studies,3,3.01,2.61,5.36,5.36,4.42,6.16,4.11,5.26,6,15,5,Bard,Brainstorming,11.2,0.83,22,-0.4,0
S0247,College of Engineering,2,3.43,3.72,3.49,4.63,6.07,4.64,4.14,4.63,7,40,4,Bard,Problem-solving,13.7,0.65,13,0.29,0
S0248,College of Arts,4,3.15,2.98,4.0,2.85,7.0,3.88,5.9,4.2,6,3,1,Gemini,Grammar,12.2,0.76,18,-0.17,1
S0249,College of Business,2,2.92,3.1,6.07,4.01,3.52,4.24,5.66,4.44,6,28,5,Bard,Research,1.0,0.87,24,0.18,0
S0250,College of Arts,2,2.83,2.92,2.66,5.99,4.74,5.36,1.84,4.34,4,29,4,Bard,Grammar,10.1,0.5,14,0.09,0
S0251,College of Computer Studies,4,3.68,3.94,2.95,6.26,6.02,4.37,4.39,4.82,9,19,5,Bard,Computation,17.1,0.77,21,0.26,0
S0252,College of Engineering,2,2.99,3.52,3.82,6.45,6.75,5.45,4.79,5.63,7,18,1,ChatGPT,Computation,19.3,0.96,19,0.53,1
S0253,College of Education,2,3.07,2.73,2.57,4.07,5.29,3.95,1.92,3.87,7,20,2,Gemini,Paraphrasing,13.0,0.76,14,-0.34,0
S0254,College of Business,4,2.75,2.87,3.3,3.88,5.65,5.01,4.5,4.19,8,21,2,ChatGPT,Research,11.5,0.93,19,0.12,1
S0255,College of Arts,1,3.68,2.98,1.26,6.49,5.04,6.64,3.4,4.51,2,14,2,Grammarly,Paraphrasing,11.3,0.99,22,-0.7,0
S0256,College of Engineering,4,3.28,3.22,6.02,5.84,4.56,4.0,4.7,5.41,5,8,5,QuillBot,Paraphrasing,11.1,0.79,16,-0.06,0
S0257,College of Computer Studies,1,3.47,3.78,6.66,3.97,3.87,4.25,5.12,5.11,4,4,2,QuillBot,Problem-solving,5.2,0.87,25,0.31,0
S0258,College of Education,2,2.45,2.8,4.76,4.18,5.31,5.15,4.8,4.51,5,21,4,Bard,Grammar,11.7,0.93,20,0.35,0
S0259,College of Arts,4,3.08,3.64,4.34,6.23,5.27,4.7,3.09,5.55,7,27,1,ChatGPT,Grammar,17.4,0.63,17,0.56,0
S0260,College of Engineering,4,2.35,1.57,4.12,6.11,3.69,5.24,4.97,4.69,7,23,2,Grammarly,Paraphrasing,14.0,0.6,22,-0.78,1
S0261,College of Business,2,2.8,3.55,3.17,4.29,2.89,5.05,4.08,3.18,6,33,3,QuillBot,Grammar,19.0,0.8,14,0.75,0
S0262,College of Computer Studies,1,2.94,3.33,4.46,3.91,4.1,2.98,5.3,4.63,8,16,4,Grammarly,Computation,14.4,0.78,15,0.39,1
S0263,College of Engineering,2,2.24,2.54,3.89,7.0,3.2,4.4,4.21,4.53,5,32,2,ChatGPT,Problem-solving,10.2,0.8,19,0.3,0
S0264,College of Education,1,3.01,3.47,2.45,2.15,4.68,4.62,4.92,3.01,6,12,5,Grammarly,Problem-solving,4.4,0.84,18,0.46,0
S0265,College of Business,3,2.93,4.0,3.48,7.0,2.17,7.0,4.27,4.36,5,1,1,Grammarly,Paraphrasing,12.1,0.96,17,1.07,0
S0266,College of Arts,3,2.87,3.03,2.12,7.0,3.86,4.83,5.19,4.35,9,16,3,Bard,Brainstorming,10.7,0.52,24,0.16,0
S0267,College of Business,3,3.1,2.89,3.18,5.19,4.27,4.18,6.41,3.87,6,16,4,Grammarly,Grammar,4.3,0.79,15,-0.21,0
S0268,College of Arts,3,3.07,3.85,3.91,1.94,6.08,3.77,4.05,3.94,7,10,5,Gemini,Grammar,12.0,0.9,18,0.78,0
S0269,College of Engineering,2,2.75,2.35,6.24,6.64,3.76,3.21,4.08,5.52,3,15,5,Gemini,Research,9.5,0.71,16,-0.4,1
S0270,College of Arts,2,2.67,3.41,4.95,1.19,6.01,5.67,3.05,3.66,6,38,2,Bard,Brainstorming,15.4,0.96,18,0.74,1
S0271,College of Business,4,2.99,3.42,1.71,3.79,3.96,3.9,1.88,3.09,7,32,5,Gemini,Research,11.8,0.68,23,0.43,0
S0272,College of Computer Studies,4,2.95,3.87,5.35,6.29,2.1,5.25,3.71,4.59,4,30,4,QuillBot,Paraphrasing,17.7,0.63,20,0.92,0
S0273,College of Engineering,3,2.38,2.13,5.19,6.05,3.42,6.17,2.87,4.66,4,29,5,Bard,Computation,8.9,0.8,17,-0.25,0
S0274,College of Computer Studies,4,4.0,3.82,5.75,5.7,5.23,4.23,5.06,5.58,4,40,3,QuillBot,Paraphrasing,13.7,0.5,25,-0.18,0
S0275,College of Engineering,2,3.65,3.42,7.0,5.39,6.27,4.43,3.82,6.23,7,12,3,QuillBot,Paraphrasing,13.1,0.83,14,-0.23,0
S0276,College of Arts,3,2.62,2.99,3.73,4.48,5.29,4.68,2.96,4.69,11,13,4,Gemini,Grammar,21.0,0.8,9,0.37,0
S0277,College of Arts,3,2.77,2.75,2.21,4.16,4.85,4.11,3.13,3.7,3,30,1,ChatGPT,Computation,14.3,0.7,22,-0.02,0
S0278,College of Education,1,3.55,3.7,5.93,4.26,5.31,5.34,6.35,5.17,5,32,4,QuillBot,Problem-solving,11.2,0.94,21,0.15,1
S0279,College of Business,4,2.8,2.8,5.31,2.54,4.44,5.45,6.58,3.93,6,22,4,Grammarly,Research,9.1,0.57,16,0.0,0
S0280,College of Engineering,4,2.95,3.25,5.58,4.85,4.59,5.4,4.97,5.17,3,20,5,Gemini,Paraphrasing,13.8,0.89,13,0.3,0
S0281,College of Business,3,2.25,2.17,2.86,5.33,3.07,6.06,3.65,3.88,5,26,5,QuillBot,Brainstorming,6.1,0.89,20,-0.08,0
S0282,College of Engineering,4,3.01,3.83,7.0,3.29,5.29,3.83,3.34,5.19,4,22,2,QuillBot,Grammar,10.9,0.66,17,0.82,0
S0283,College of Education,1,2.65,2.38,5.51,5.47,3.99,4.08,4.8,4.73,8,29,5,Grammarly,Brainstorming,3.3,0.75,17,-0.27,1
S0284,College of Computer Studies,3,3.08,2.81,5.97,3.71,4.07,6.32,4.54,4.83,2,25,1,Grammarly,Research,15.3,0.71,17,-0.27,0
S0285,College of Engineering,3,2.86,3.29,3.73,3.15,7.0,6.87,3.42,4.82,2,43,1,Grammarly,Problem-solving,3.6,0.66,17,0.43,0
S0286,College of Engineering,2,2.81,3.34,1.0,5.5,5.23,3.3,4.63,3.88,3,31,2,Gemini,Grammar,9.2,0.89,8,0.53,0
S0287,College of Business,3,2.55,2.51,6.97,3.2,3.09,5.56,5.42,4.4,8,48,1,ChatGPT,Grammar,12.2,0.99,24,-0.04,0
S0288,College of Computer Studies,2,3.57,3.6,5.58,4.56,4.6,4.4,4.85,4.94,5,31,3,QuillBot,Paraphrasing,10.6,0.71,18,0.03,0
S0289,College of Engineering,4,3.07,2.56,5.79,6.33,3.43,4.38,3.56,5.41,9,18,5,Gemini,Paraphrasing,8.7,0.95,21,-0.51,1
S0290,College of Computer Studies,4,2.68,3.04,5.7,4.7,4.24,4.81,6.03,4.66,10,28,2,ChatGPT,Research,15.8,0.54,20,0.36,1
S0291,College of Computer Studies,2,2.91,3.97,4.11,4.06,3.68,5.93,4.22,4.33,2,20,1,QuillBot,Computation,10.3,0.79,16,1.06,0
S0292,College of Computer Studies,1,2.46,3.15,5.53,1.68,3.89,7.0,3.0,3.29,8,7,3,Grammarly,Paraphrasing,9.5,0.57,21,0.69,1
S0293,College of Arts,1,2.45,3.17,4.54,5.45,3.87,3.66,6.08,4.72,5,39,1,Bard,Grammar,10.9,0.92,21,0.72,0
S0294,College of Engineering,2,2.49,2.75,5.73,2.65,4.63,4.19,4.3,4.42,8,15,3,ChatGPT,Grammar,9.5,0.68,25,0.26,0
S0295,College of Engineering,3,3.23,3.31,3.3,2.67,2.03,4.78,3.58,2.23,4,18,4,Grammarly,Grammar,13.0,0.7,14,0.08,0
S0296,College of Computer Studies,4,2.82,2.78,1.35,5.3,3.85,5.97,3.49,3.36,5,18,2,Grammarly,Problem-solving,5.9,0.69,12,-0.04,0
S0297,College of Arts,4,3.21,4.0,3.57,4.86,3.79,5.13,2.08,3.72,6,28,5,ChatGPT,Computation,2.7,0.76,17,0.79,0
S0298,College of Computer Studies,3,3.08,2.87,7.0,5.45,4.9,6.22,5.22,5.67,3,10,2,ChatGPT,Paraphrasing,13.6,0.83,34,-0.21,1
S0299,College of Engineering,2,2.83,3.38,5.34,4.87,4.47,5.57,3.93,5.18,3,6,3,ChatGPT,Computation,13.4,0.89,24,0.55,0
S0300,College of Business,1,2.86,3.15,4.44,4.83,3.16,5.58,5.21,4.5,5,34,2,ChatGPT,Problem-solving,8.9,0.5,17,0.29,1
S0301,College of Engineering,1,2.99,3.08,6.12,5.4,3.23,4.72,3.16,4.98,12,33,4,Bard,Problem-solving,13.0,0.5,19,0.09,0
S0302,College of Education,1,2.61,2.89,3.59,4.87,4.69,4.59,4.3,4.27,7,1,5,Bard,Research,6.0,0.61,14,0.28,0
S0303,College of Business,4,3.2,3.51,3.11,4.13,5.05,5.45,4.69,4.24,6,4,3,Bard,Computation,6.1,0.91,19,0.31,0
S0304,College of Business,1,2.91,3.07,1.17,5.09,4.68,4.96,3.98,3.19,4,24,2,QuillBot,Paraphrasing,6.5,0.85,15,0.16,0
S0305,College of Computer Studies,4,2.73,3.67,4.69,4.33,2.13,5.03,4.57,3.48,7,16,5,Gemini,Grammar,13.6,0.92,13,0.94,0
S0306,College of Education,2,2.95,3.23,4.82,4.67,3.84,5.48,4.25,4.16,2,14,1,Bard,Brainstorming,7.3,0.72,11,0.28,0
S0307,College of Computer Studies,4,3.37,3.47,5.59,4.85,3.03,4.35,4.1,4.5,7,24,4,Bard,Problem-solving,4.0,0.6,13,0.1,1
S0308,College of Engineering,4,3.45,3.14,2.92,3.56,5.75,4.85,2.26,3.71,3,36,5,Bard,Grammar,9.8,0.68,19,-0.31,0
S0309,College of Engineering,3,3.42,3.48,4.39,7.0,5.32,5.57,5.9,5.65,5,1,3,Gemini,Computation,6.8,0.93,18,0.06,0
S0310,College of Education,4,2.84,3.26,2.3,2.56,2.9,4.08,3.65,2.67,5,2,5,QuillBot,Research,1.5,0.75,23,0.42,0
S0311,College of Computer Studies,2,3.12,3.3,6.83,1.61,4.74,7.0,5.01,4.71,7,15,3,Gemini,Paraphrasing,14.3,0.82,28,0.18,1
S0312,College of Education,1,3.0,2.89,4.58,4.4,5.09,4.58,5.77,4.44,3,30,3,QuillBot,Brainstorming,8.6,0.55,23,-0.11,0
S0313,College of Computer Studies,3,2.06,2.03,6.84,3.5,4.04,4.09,5.46,4.76,5,8,4,Gemini,Brainstorming,3.1,0.5,21,-0.03,1
S0314,College of Arts,2,2.76,3.03,2.41,4.78,3.98,4.56,5.19,3.56,2,17,5,ChatGPT,Grammar,12.8,0.5,11,0.27,0
S0315,College of Engineering,2,2.5,2.35,5.67,4.82,3.8,5.44,4.81,4.65,8,46,5,Gemini,Grammar,11.6,0.61,18,-0.15,0
S0316,College of Education,3,3.41,4.0,6.03,3.59,3.52,3.68,5.15,4.56,4,13,2,Grammarly,Paraphrasing,14.4,0.5,17,0.59,1
S0317,College of Computer Studies,2,4.0,4.0,2.76,5.47,3.28,4.46,3.91,3.64,2,24,1,QuillBot,Computation,19.2,0.76,13,0.0,0
S0318,College of Computer Studies,3,3.24,3.43,4.34,5.9,3.26,4.1,4.25,4.48,8,30,5,QuillBot,Paraphrasing,12.7,0.9,12,0.19,0
S0319,College of Arts,1,3.34,3.3,4.85,4.79,5.34,5.48,6.29,4.88,2,33,5,ChatGPT,Brainstorming,9.7,0.97,16,-0.04,0
S0320,College of Business,4,3.4,3.92,2.64,3.27,2.11,4.17,3.32,3.02,6,15,5,ChatGPT,Paraphrasing,15.5,0.78,17,0.52,0
S0321,College of Engineering,2,3.33,3.28,3.01,4.72,6.69,6.16,6.18,4.72,4,41,4,QuillBot,Computation,14.4,0.87,12,-0.05,0
S0322,College of Education,1,3.16,3.69,2.57,4.05,4.12,6.0,4.06,3.78,6,31,2,Grammarly,Computation,14.1,0.64,19,0.53,1
S0323,College of Arts,2,3.58,3.69,4.91,4.85,5.33,5.73,4.36,5.1,6,23,3,Bard,Problem-solving,9.3,0.72,13,0.11,0
S0324,College of Computer Studies,3,2.76,2.71,3.79,6.37,6.28,4.3,4.97,5.39,9,30,2,Gemini,Brainstorming,4.5,0.84,16,-0.05,1
S0325,College of Education,2,3.42,4.0,3.87,5.81,1.0,6.1,4.73,3.64,5,6,3,QuillBot,Problem-solving,13.7,0.9,21,0.58,0
S0326,College of Engineering,4,3.52,4.0,6.45,4.41,4.24,4.07,6.33,4.77,5,27,3,Gemini,Problem-solving,18.1,0.96,19,0.48,0
S0327,College of Business,4,3.25,3.2,3.52,4.46,2.56,5.88,4.65,3.78,6,35,3,Grammarly,Computation,7.2,0.91,12,-0.05,0
S0328,College of Arts,3,2.83,3.21,3.32,4.08,4.14,6.34,2.57,3.84,7,28,5,Gemini,Computation,8.4,0.68,18,0.38,0
S0329,College of Computer Studies,4,2.33,2.29,4.93,5.51,4.97,2.35,6.2,5.0,8,19,5,Grammarly,Computation,6.9,0.5,21,-0.04,1
S0330,College of Arts,3,3.47,3.97,1.85,3.84,5.58,4.3,5.16,3.51,9,17,5,ChatGPT,Problem-solving,19.4,0.69,19,0.5,0
S0331,College of Business,4,3.67,3.67,5.73,3.7,6.77,5.64,4.46,4.93,8,33,5,Bard,Computation,1.9,0.5,13,0.0,1
S0332,College of Education,1,2.58,2.48,6.86,5.17,5.14,4.37,6.12,5.7,4,24,3,ChatGPT,Brainstorming,10.2,0.65,17,-0.1,1
S0333,College of Education,3,3.41,3.72,5.86,6.2,4.77,5.4,4.97,5.57,9,32,3,ChatGPT,Brainstorming,13.6,0.83,17,0.31,0
S0334,College of Computer Studies,4,3.35,3.16,7.0,5.52,3.83,4.84,5.48,5.48,7,30,4,Grammarly,Computation,11.0,0.5,21,-0.19,0
S0335,College of Business,2,3.35,3.32,2.56,4.46,4.0,4.93,3.24,3.8,5,20,3,Gemini,Problem-solving,6.7,0.89,8,-0.03,0
S0336,College of Business,2,2.6,3.32,2.94,7.0,4.56,6.47,3.83,4.6,2,12,4,ChatGPT,Computation,13.5,0.68,17,0.72,1
S0337,College of Education,1,3.29,3.03,7.0,6.89,4.51,5.3,4.66,5.87,6,9,3,QuillBot,Problem-solving,7.7,0.95,16,-0.26,1
S0338,College of Business,1,3.11,3.67,5.75,2.88,3.83,4.38,3.48,4.29,8,31,2,Grammarly,Computation,12.9,0.86,12,0.56,0
S0339,College of Business,3,3.13,2.83,4.06,5.27,4.77,5.83,6.11,4.71,7,15,3,QuillBot,Grammar,13.3,0.82,24,-0.3,1
S0340,College of Engineering,4,3.42,3.84,4.64,4.46,4.72,7.0,2.76,4.76,2,12,4,QuillBot,Problem-solving,7.4,0.69,15,0.42,0
S0341,College of Business,2,2.8,2.72,2.53,5.04,2.6,5.03,5.98,3.59,3,24,2,QuillBot,Research,4.1,0.85,17,-0.08,1
S0342,College of Education,1,2.91,2.57,6.14,5.4,4.73,5.59,3.69,5.25,3,11,2,ChatGPT,Paraphrasing,7.7,0.91,21,-0.34,0
S0343,College of Arts,4,2.24,2.4,3.09,5.34,4.64,4.71,3.94,4.06,5,35,3,ChatGPT,Computation,10.8,0.66,20,0.16,1
S0344,College of Engineering,4,3.33,3.47,2.38,4.83,1.24,4.88,4.29,2.99,9,11,3,QuillBot,Paraphrasing,7.5,0.9,18,0.14,0
S0345,College of Computer Studies,4,3.59,3.73,4.31,2.75,4.51,6.78,2.91,3.63,6,32,1,Gemini,Problem-solving,9.4,0.63,16,0.14,0
S0346,College of Arts,1,2.85,2.61,4.45,4.02,6.01,6.32,6.82,4.78,6,30,2,Grammarly,Research,12.1,0.88,10,-0.24,0
S0347,College of Arts,4,3.39,3.36,5.72,5.34,1.96,4.64,3.35,4.69,5,16,4,ChatGPT,Grammar,2.4,0.83,13,-0.03,1
S0348,College of Computer Studies,4,3.27,3.41,4.46,6.85,5.06,4.18,3.56,5.64,9,36,5,Bard,Problem-solving,8.4,0.85,13,0.14,0
